Bonn, Julia, Skatje Myers, Jens EL Van Gysel, Lukas Denk, Meagan Vigus, Jin Zhao, Andrew Cowell et al|Mapping AMR to UMR: Resources for Adapting Existing Corpora for Cross-Lingual Compatibility|Proceedings of the 21st International Workshop on Treebanks and Linguistic Theories (TLT, GURT/SyntaxFest 2023)|74-95|2023| 
Sun, Haibo, Yifan Zhu, Jin Zhao, and Nianwen Xue|UMR annotation of Chinese Verb compounds and related constructions|Proceedings of the First International Workshop on Construction Grammars and NLP (CxGs+ NLP, GURT/SyntaxFest 2023)|75-84|2023| 
Zhao, Jin, Nianwen Xue, Jens Van Gysel, and Jinho D. Choi|UMR-Writer: A Web Application for Annotating Uniform Meaning Representations|Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing: System Demonstrations|160-167|2021| 
Van Gysel, Jens EL, Meagan Vigus, Lukas Denk, Andrew Cowell, Rosa Vallejos, Tim O’Gorman, and William Croft|Theoretical and Practical Issues in the Semantic Annotation of Four Indigenous Languages|Proceedings of The Joint 15th Linguistic Annotation Workshop (LAW) and 3rd Designing Meaning Representations (DMR) Workshop|12-22|2021|https://aclanthology.org/2021.law-1.2
Daniel Chen, Martha Palmer, and Meagan Vigus|AutoAspect: Automatic Annotation of Tense and Aspect for Uniform Meaning Representations.|Proceedings of The Joint 15th Linguistic Annotation Workshop (LAW) and 3rd Designing Meaning Representations (DMR) Workshop|36-45|2021|https://aclanthology.org/2021.law-1.4/
Jens E. L. Van Gysel, Meagan Vigus, Jayeol Chun, Kenneth Lai, Sarah Moeller, Jiarui Yao, Tim O’Gorman, Andrew Cowell, William Croft, Chu-Ren Huang, Jan Hajič, James H. Martin, Stephan Oepen, Martha Palmer, James Pustejovsky, Rosa Vallejos, Nianwen Xue|Designing a Univerform Meaning Representataion for Natural Language Processing|Künstliche Intelligenz|2021|https://doi.org/10.1007/s13218-021-00722-w
Yao, Jiarui, Haoling Qiu, Bonan Min, and Nianwen Xue|Annotating Temporal Dependency Graphs via Crowdsourcing|Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)|5368-5380|2020| 
Julia Bonn, Martha Palmer, Jon Cai, Kristin Wright-Bettner|Spatial AMR: Expanded Spatial Annotation in the Context of a Grounded Minecraft Corpus|Proceedings of the Twelfth International Conference on Language Resources and Evaluation (LREC 2020)||2020| 
Sarah Moeller, Irina Wagner, Martha Palmer, Kathryn Conger, Skatje Myers|The Russian PropBank|Proceedings of the Twelfth International Conference on Language Resources and Evaluation (LREC 2020)||2020| 
Oepen, Stephan, Omri Abend, Jan Hajic, Daniel Hershcovich, Marco Kuhlmann, Tim O’Gorman, Nianwen Xue, Jayeol Chun, Milan Straka, and Zdenka Uresova|MRP 2019: Cross-framework meaning representation parsing|Proceedings of the Shared Task on Cross-Framework Meaning Representation Parsing at the 2019 Conference on Natural Language Learning|1-27|2019| 
Jens E. L. Van Gysel, Meagan Vigus, Pavlina Kalm, Sook-kyung Lee, Michael Regan, William Croft|Cross-Linguistic Semantic Annotation: Reconciling the Language-Specific and the Universal|Proceedings of the First International Workshop on Designing Meaning Representations||2019| 
James Pustejovsky, Ken Lai and Nianwen Xue|Modeling Quantification and Scope in Abstract Meaning Representations|Proceedings of the First International Workshop on Designing Meaning Representations||2019| 
Zi Lin and Nianwen Xue|Parsing Meaning Representations: is Easier Always Better?|Proceedings of the First International Workshop on Designing Meaning Representations|| 2019| 
Skatje Myers and Martha Palmer|ClearTAC: Verb tense, aspect, and form classification using neural nets|Proceedings of the 1st Designing Meaning Representations Workshop||2019| 
Meagan Vigus, Jens E. L. Van Gysel and William Croft|A Dependency Structure Annotation for Modality|Proceedings of the First International Workshop on Designing Meaning Representations||2019| 
