Skatje Myers and Martha Palmer|ClearTAC: Verb tense, aspect, and form classification using neural nets|Proceedings of the 1st Designing Meaning Representations Workshop||2019| 
Meagan Vigus, Jens E. L. Van Gysel, and William Croft|A Dependency Structure Annotation for Modality|Proceedings of the First International Workshop on Designing Meaning Representations||2019|
Julia Bonn, Harish Tayyar Madabushi, Jena D. Hwang, and Claire Bonial|Adjudicating LLMs as PropBank Annotators|Proceedings of the Fifth International Workshop on Designing Meaning Representations (DMR 2024) @ LREC-COLING 2024|112-123|2024|https://aclanthology.org/2024.dmr-1.pdf#page=126
Matthew J. Buchholz, Julia Bonn, Claire Benét Post, Andrew Cowell, and Alexis Palmer|Bootstrapping UMR Annotations for Arapaho from Language Documentation Resources|Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)|2447–2457|2024|https://aclanthology.org/2024.lrec-main.220/
Jayeol Chun and Nianwen Xue|Uniform Meaning Representation Parsing as a Pipelined Approach|Proceedings of TextGraphs-17: Graph-based Methods for Natural Language Processing, in conjunction with  the 62nd Annual Meeting of the Association for Computational Linguistics (ACL-2024)||2024 (to appear)|
Jan Hajič, Fučíková Eva, Lopatková Markéta, Urešová Zdeňka|Mapping Czech Verbal Valency to PropBank Argument Labels|Proceedings of the Fifth International Workshop on Designing Meaning Representations (DMR 2024) @ LREC-COLING 2024|88-100|2024|https://aclanthology.org/2024.dmr-1.pdf#page=102
Skatje Myers, Roman Khamov, Adam Pollins, Rebekah Tozier, Olga Babko-Malaya and Martha Palmer|Expanding Russian PropBank: Challenges and Insights for Developing New SRL Resources|Proceedings of the Fifth International Workshop on Designing Meaning Representations @ LREC-COLING 2024|30-38|2024|https://aclanthology.org/2024.dmr-1.4/
Martha Palmer|My Big, Fat 50-Year Journey|Computational Linguistics||2024|https://direct.mit.edu/coli/article/50/1/1/118388
Claire Benét Post, Marie C. McGregor, Maria Leonor Pacheco, and Alexis Palmer|Accelerating UMR Adoption: Neuro-Symbolic Conversion from AMR-to-UMR with Low Supervision|Proceedings of the Fifth International Workshop on Designing Meaning Representations @ LREC-COLING 2024|140-150|2024|https://aclanthology.org/2024.dmr-1.15/
Haibo Sun, Nianwen Xue, Jin Zhao, Liulu Yue, Yao Sun, Keer Xu, and Jiawei Wu|Chinese UMR annotation: Can LLMs help?|Proceedings of the Fifth International Workshop on Designing Meaning Representations @ LREC-COLING 2024|131-139|2024|https://aclanthology.org/2024.dmr-1.14/
Jin Zhao, Nianwen Xue, and Bonan Min|Cross-Document Event Coreference Resolution: Instruct Humans or Instruct GPT?|Proceedings of the 27th Conference on Computational Natural Language Learning (CoNLL)|561-574|2023|https://aclanthology.org/2023.conll-1.38/
Kenneth Lai, Lucia Donatelli, James Pustejovsky|A Continuation Semantics for Abstract Meaning Representation|Proceedings of the Second International Workshop on Designing Meaning Representations|1-12|2020|https://aclanthology.org/2020.dmr-1.1/
